BTCUSDT|cryptoorderflow|long|INITIAL_SL|asian|na|19|0.000|-1.220|-37.2305|3.46|0.01|0.52|1504134
ETHUSDT|orderflow|long|TIMEOUT|unknown|na|59|0.169|-0.137|-36.8973|6.20|||4109610
ETHUSDT|orderflow|long|INITIAL_SL|unknown|na|8|0.000|-1.143|-36.6504|66.76|0.05||1304676
SOLUSDT|orderflow|short|TIMEOUT|european|na|51|0.294|-0.143|-36.3578|2.97|1.18|1.30|3543257
ETHUSDT|cryptoorderflow|short|INITIAL_SL|overnight|na|21|0.000|-0.436|-35.8382|3.14|0.05|1.10|1894227
ETHUSDT|orderflow|short|INITIAL_SL|overnight|range|16|0.000|-1.231|-33.7503|3.71|0.05|1.38|2190220
SOLUSDT|orderflow|long|INITIAL_SL|asian|na|6|0.000|-1.100|-32.9862|3.61|1.17|0.91|2951680
BTCUSDT|orderflow|short|TIMEOUT|unknown|na|17|0.059|-0.359|-30.5312|10.90|||3611927
ETHUSDT|cryptoorderflow|short|TIMEOUT|overnight|na|131|0.405|-0.046|-29.6039|3.24|0.05|1.34|3216790
SOLUSDT|orderflow|long|INITIAL_SL|european|na|5|0.000|-1.100|-27.4885|4.83|1.17|1.65|2910884
BTCUSDT|orderflow|short|TIMEOUT|overnight|na|50|0.280|-0.109|-27.1408|2.96|0.01|0.43|3482351
BTCUSDT|orderflow|long|INITIAL_SL|us_main|trending_bear|11|0.000|-1.242|-26.7786|7.03|0.01|1.02|730285
ETHUSDT|cryptoorderflow|short|TIMEOUT|asian|na|79|0.354|-0.066|-26.7200|3.26|0.05|1.60|3600533
ETHUSDT|cryptoorderflow|short|TIMEOUT|unknown|na|33|0.061|-0.179|-25.9443|7.92|||3589638
BTCUSDT|cryptoorderflow|short|TIMEOUT|asian|na|42|0.286|-0.094|-25.0218|3.22|0.01|0.75|3596561
ETHUSDT|cryptoorderflow|short|TIMEOUT|us_main|na|57|0.491|-0.079|-23.6732|4.02|0.05|1.46|3605991
SOLUSDT|orderflow|short|TIMEOUT|unknown|na|14|0.071|-0.312|-22.0429|9.72|||3514952
